date,open,high,low,close,volume
2024-01-12,305.53,308.1,303.4,307.96,398800
2024-01-16,305.0,309.3,301.6,308.13,377000
2024-01-17,306.35,308.92,299.02,302.51,307000
2024-01-18,303.28,310.5,300.53,310.16,345600
2024-01-19,310.63,315.51,308.0,312.45,698300
2024-01-22,313.61,318.57,313.52,317.05,355700
2024-01-23,319.45,319.45,313.86,316.44,286400
2024-01-24,317.18,320.19,309.7,312.42,330100
2024-01-25,314.06,316.72,310.08,312.0,215600
2024-01-26,318.69,321.05,315.35,316.12,351900
2024-01-29,318.0,324.48,317.62,324.36,383100
2024-01-30,324.36,330.54,324.13,328.38,419300
2024-01-31,328.67,328.67,316.91,317.71,402400
2024-02-01,319.17,324.65,314.52,324.45,245700
2024-02-02,320.81,322.95,316.89,320.74,516600
2024-02-05,322.43,326.15,318.42,324.85,754000
2024-02-06,322.0,332.85,316.44,330.38,923200
2024-02-07,330.32,331.18,322.48,323.54,587400
2024-02-08,322.72,327.92,320.7,326.69,348900
2024-02-09,325.69,327.57,320.82,322.82,409200
2024-02-12,322.05,322.39,317.38,320.2,362600
2024-02-13,314.1,316.86,307.2,311.58,447700
2024-02-14,314.59,317.88,310.39,317.52,534100
2024-02-15,317.86,323.5,317.86,322.87,276600
2024-02-16,320.25,333.49,320.25,325.21,540600
2024-02-20,322.93,324.58,320.36,323.95,301900
2024-02-21,321.27,329.94,321.27,329.52,251300
2024-02-22,329.45,332.12,323.75,330.55,364900
2024-02-23,332.51,333.71,330.49,331.25,241800
2024-02-26,331.09,333.4,326.95,327.03,329700
2024-02-27,328.18,333.87,326.3,332.65,219200
2024-02-28,332.93,344.17,331.25,337.68,583200
2024-02-29,340.01,340.85,334.83,337.42,693300
2024-03-01,336.81,346.52,330.82,346.04,449600
2024-03-04,346.81,352.27,346.29,346.76,528000
2024-03-05,346.99,349.36,342.36,343.41,355700
2024-03-06,344.7,351.51,344.7,349.0,217400
2024-03-07,351.93,361.09,349.81,361.0,618600
2024-03-08,361.41,363.8,355.77,355.94,518000
2024-03-11,355.71,356.45,350.03,353.86,316100
2024-03-12,354.39,356.86,350.31,353.3,301500
2024-03-13,354.76,356.61,350.4,351.73,311300
2024-03-14,350.85,350.85,340.68,343.57,474000
2024-03-15,340.75,354.87,340.75,352.9,837700
2024-03-18,350.11,355.59,347.11,347.27,480100
2024-03-19,347.39,350.58,344.11,348.96,358000
2024-03-20,347.96,348.46,342.66,348.36,314800
2024-03-21,351.1,355.7,348.52,352.45,383100
2024-03-22,352.61,354.0,341.44,347.31,370400
2024-03-25,348.89,349.4,341.14,342.72,309500
2024-03-26,343.03,343.88,338.0,338.1,367300
2024-03-27,340.21,346.49,337.89,345.19,449300
2024-03-28,345.76,347.22,343.1,344.23,262500
2024-04-01,345.15,346.49,340.96,344.51,246500
2024-04-02,340.63,342.43,336.84,339.73,278800
2024-04-03,339.05,343.44,338.84,341.1,258200
2024-04-04,344.69,344.69,333.47,334.26,329400
2024-04-05,335.69,339.73,333.65,335.94,304400
2024-04-08,335.38,340.48,334.38,339.04,286400
2024-04-09,342.97,346.54,341.45,345.03,295500
2024-04-10,337.11,341.94,335.24,337.15,222100
2024-04-11,341.56,342.36,337.01,337.89,378900
2024-04-12,334.75,335.33,321.95,322.66,392700
2024-04-15,326.46,328.11,316.97,319.59,312500
2024-04-16,318.72,320.3,312.87,313.72,441700
2024-04-17,312.43,313.36,302.5,304.18,614600
2024-04-18,296.3,300.4,288.94,294.23,687000
2024-04-19,296.18,299.76,293.91,296.1,466300
2024-04-22,298.22,300.81,294.71,299.23,358300
2024-04-23,309.99,315.03,306.09,313.3,561600
